order_id,order_date,order_month,order_year,customer_name,product_name,category,quantity,price,discount,net_revenue,profit
2102,2026-03-28,March,2026,"Zilmil bansal","Sony WH-1000XM5",Electronics,7,21193.67,5.55,148350.14,-62312.97
1282,2025-02-28,February,2025,"Inaya natt","Lenovo IdeaPad Slim 3",Electronics,5,16987.99,21.54,84918.41,-103185.14
203,2024-07-16,July,2024,"Inaya natt","Sony WH-1000XM5",Electronics,4,10000.00,16.49,39983.51,219.43
203,2024-07-16,July,2024,"Inaya natt","Apple AirPods Pro",Electronics,10,37551.34,58.35,375455.05,-219.65
203,2024-07-16,July,2024,"Inaya natt","Philips Air Fryer","Home & Kitchen",2,29805.38,18.31,59592.45,39592.45
3458,2024-09-19,September,2024,"vivaan barad","allen solly formal shirt",Clothing,9,10000.00,-10.00,90010.00,-102378.50
51,2025-10-16,October,2025,"vivaan barad","Samsung Galaxy A54",Electronics,1,12721.41,59.25,12662.16,-14892.19
51,2025-10-16,October,2025,"vivaan barad","Boldfit Yoga Mat",Sports,9,18186.20,58.53,163617.27,158157.69
51,2025-10-16,October,2025,"vivaan barad","Milton Flask","Home & Kitchen",7,10000.00,52.37,69947.63,-135824.37
3993,2025-11-23,November,2025,"Jason ranganathan","Titan Watch",Others,1,33147.90,34.39,33113.51,19319.49
3509,2024-08-12,August,2024,"Jason ranganathan","OnePlus Nord CE3",Electronics,5,26780.03,41.71,133858.44,-57769.91
3509,2024-08-12,August,2024,"Jason ranganathan","Levis 511 Jeans",Clothing,999,19366.23,36.18,19346827.59,9356827.59
3981,2024-09-18,September,2024,"yashvi dave","Tata Tea 1kg",Grocery,4,24479.51,18.89,97899.15,-10142.29
1696,2025-01-18,January,2025,"yashvi dave","Apple AirPods Pro",Electronics,1,13536.22,11.35,13524.87,-24042.60
448,2025-11-08,November,2025,"Deepa cherian","Levis 511 Jeans",Clothing,NULL,29143.61,52.00,NULL,NULL
188,2025-08-02,August,2025,"Vasudha biswas","Tata Tea 1kg",Grocery,7,39049.06,29.67,273313.75,84241.23
